run_id,strategy,model,lang,n,elapsed_seconds,accuracy,f1_macro,mcc,status,error
baseline_ollama-qwen2.5-7b_pt_n5_1779030426,baseline,ollama/qwen2.5:7b,pt,5,41.94,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n5_1779030469,pipeline,ollama/qwen2.5:7b,pt,5,36.49,1.0,1.0,1.0,ok,
baseline_ollama-qwen2.5-7b_en_n5_1779030505,baseline,ollama/qwen2.5:7b,en,5,25.99,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n5_1779030532,pipeline,ollama/qwen2.5:7b,en,5,29.33,0.8,0.7619,0.6124,ok,
baseline_ollama-llama3.1-8b_pt_n5_1779030562,baseline,ollama/llama3.1:8b,pt,5,44.1,0.6,0.375,0.0,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n5_1779030606,pipeline,ollama/llama3.1:8b,pt,5,36.0,1.0,1.0,1.0,ok,
baseline_ollama-llama3.1-8b_en_n5_1779030643,baseline,ollama/llama3.1:8b,en,5,31.35,0.8,0.7619,0.6124,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n5_1779030674,pipeline,ollama/llama3.1:8b,en,5,34.43,1.0,1.0,1.0,ok,
baseline_ollama-qwen2.5-7b_pt_n5_1779038136,baseline,ollama/qwen2.5:7b,pt,5,49.53,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n5_1779038186,pipeline,ollama/qwen2.5:7b,pt,5,41.6,1.0,1.0,1.0,ok,
baseline_ollama-qwen2.5-7b_en_n5_1779038228,baseline,ollama/qwen2.5:7b,en,5,40.12,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n5_1779038270,pipeline,ollama/qwen2.5:7b,en,5,42.76,0.8,0.7619,0.6124,ok,
baseline_ollama-llama3.1-8b_pt_n5_1779038313,baseline,ollama/llama3.1:8b,pt,5,88.53,0.6,0.375,0.0,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n5_1779038403,pipeline,ollama/llama3.1:8b,pt,5,76.11,1.0,1.0,1.0,ok,
baseline_ollama-llama3.1-8b_en_n5_1779038480,baseline,ollama/llama3.1:8b,en,5,59.24,0.8,0.7619,0.6124,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n5_1779038542,pipeline,ollama/llama3.1:8b,en,5,75.82,1.0,1.0,1.0,ok,
baseline_ollama-qwen2.5-7b_pt_n5_1779039006,baseline,ollama/qwen2.5:7b,pt,5,60.8,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n5_1779039068,pipeline,ollama/qwen2.5:7b,pt,5,48.83,1.0,1.0,1.0,ok,
baseline_ollama-qwen2.5-7b_en_n5_1779039119,baseline,ollama/qwen2.5:7b,en,5,49.54,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n5_1779039170,pipeline,ollama/qwen2.5:7b,en,5,78.68,0.8,0.7619,0.6124,ok,
baseline_ollama-llama3.1-8b_pt_n5_1779039249,baseline,ollama/llama3.1:8b,pt,5,181.66,0.6,0.375,0.0,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n5_1779039432,pipeline,ollama/llama3.1:8b,pt,5,156.23,0.8,0.7619,0.6124,ok,
baseline_ollama-llama3.1-8b_en_n5_1779039589,baseline,ollama/llama3.1:8b,en,5,146.45,0.8,0.7619,0.6124,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n5_1779039738,pipeline,ollama/llama3.1:8b,en,5,157.68,1.0,1.0,1.0,ok,
baseline_ollama-qwen2.5-7b_pt_n5_1779053927,baseline,ollama/qwen2.5:7b,pt,5,147.01,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n5_1779054076,pipeline,ollama/qwen2.5:7b,pt,5,36.66,1.0,1.0,1.0,ok,
baseline_ollama-qwen2.5-7b_en_n5_1779054113,baseline,ollama/qwen2.5:7b,en,5,27.74,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n5_1779054142,pipeline,ollama/qwen2.5:7b,en,5,31.32,0.8,0.7619,0.6124,ok,
baseline_ollama-llama3.1-8b_pt_n5_1779054174,baseline,ollama/llama3.1:8b,pt,5,47.59,0.6,0.375,0.0,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n5_1779054223,pipeline,ollama/llama3.1:8b,pt,5,35.31,1.0,1.0,1.0,ok,
baseline_ollama-llama3.1-8b_en_n5_1779054258,baseline,ollama/llama3.1:8b,en,5,31.68,0.8,0.7619,0.6124,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n5_1779054291,pipeline,ollama/llama3.1:8b,en,5,34.62,1.0,1.0,1.0,ok,
baseline_ollama-phi3.5-3.8b_pt_n5_1779054327,baseline,ollama/phi3.5:3.8b,pt,5,55.01,0.6,0.375,0.0,ok,
pipeline_ollama-phi3.5-3.8b-ollama-phi3.5-3.8b_pt_n5_1779054382,pipeline,ollama/phi3.5:3.8b,pt,5,45.78,0.8,0.7619,0.6124,ok,
baseline_ollama-phi3.5-3.8b_en_n5_1779054429,baseline,ollama/phi3.5:3.8b,en,5,23.93,0.6,0.375,0.0,ok,
pipeline_ollama-phi3.5-3.8b-ollama-phi3.5-3.8b_en_n5_1779054454,pipeline,ollama/phi3.5:3.8b,en,5,35.91,0.6,0.375,0.0,ok,
baseline_ollama-qwen2.5-7b_pt_n10_1779055415,baseline,ollama/qwen2.5:7b,pt,10,67.53,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n10_1779055484,pipeline,ollama/qwen2.5:7b,pt,10,62.72,0.9,0.8901,0.8018,ok,
baseline_ollama-qwen2.5-7b_en_n10_1779055548,baseline,ollama/qwen2.5:7b,en,10,49.48,0.8,0.7619,0.6124,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n10_1779055598,pipeline,ollama/qwen2.5:7b,en,10,53.0,0.9,0.8901,0.8018,ok,
baseline_ollama-llama3.1-8b_pt_n10_1779055652,baseline,ollama/llama3.1:8b,pt,10,79.64,0.7,0.6,0.4082,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n10_1779055733,pipeline,ollama/llama3.1:8b,pt,10,70.99,0.8,0.7619,0.6124,ok,
baseline_ollama-llama3.1-8b_en_n10_1779055804,baseline,ollama/llama3.1:8b,en,10,64.57,0.8,0.7619,0.6124,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n10_1779055869,pipeline,ollama/llama3.1:8b,en,10,68.18,0.9,0.8901,0.8018,ok,
baseline_ollama-phi3.5-3.8b_pt_n10_1779055938,baseline,ollama/phi3.5:3.8b,pt,10,49.8,0.6,0.375,0.0,ok,
pipeline_ollama-phi3.5-3.8b-ollama-phi3.5-3.8b_pt_n10_1779055988,pipeline,ollama/phi3.5:3.8b,pt,10,64.8,0.7,0.6,0.4082,ok,
baseline_ollama-phi3.5-3.8b_en_n10_1779056053,baseline,ollama/phi3.5:3.8b,en,10,29.6,0.6,0.375,0.0,ok,
pipeline_ollama-phi3.5-3.8b-ollama-phi3.5-3.8b_en_n10_1779056084,pipeline,ollama/phi3.5:3.8b,en,10,46.44,0.6,0.375,0.0,ok,
baseline_ollama-qwen2.5-7b_pt_n10_1779058565,baseline,ollama/qwen2.5:7b,pt,10,61.56,1.0,1.0,1.0,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n10_1779058628,pipeline,ollama/qwen2.5:7b,pt,10,59.64,0.9,0.8901,0.8018,ok,
baseline_ollama-qwen2.5-7b_en_n10_1779058688,baseline,ollama/qwen2.5:7b,en,10,51.38,0.7,0.697,0.5345,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n10_1779058741,pipeline,ollama/qwen2.5:7b,en,10,54.68,0.9,0.8901,0.8018,ok,
baseline_ollama-llama3.1-8b_pt_n10_1779058796,baseline,ollama/llama3.1:8b,pt,10,77.18,0.6,0.6,0.4286,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n10_1779058874,pipeline,ollama/llama3.1:8b,pt,10,68.68,0.7,0.697,0.5345,ok,
baseline_ollama-llama3.1-8b_en_n10_1779058943,baseline,ollama/llama3.1:8b,en,10,62.81,0.6,0.6,0.4286,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n10_1779059006,pipeline,ollama/llama3.1:8b,en,10,67.11,0.8,0.7917,0.6547,ok,
baseline_ollama-phi3.5-3.8b_pt_n10_1779059074,baseline,ollama/phi3.5:3.8b,pt,10,72.46,0.5,0.4949,0.3273,ok,
pipeline_ollama-phi3.5-3.8b-ollama-phi3.5-3.8b_pt_n10_1779059147,pipeline,ollama/phi3.5:3.8b,pt,10,71.27,0.5,0.4949,0.3273,ok,
baseline_ollama-phi3.5-3.8b_en_n10_1779059219,baseline,ollama/phi3.5:3.8b,en,10,24.53,0.3,0.2308,0.0,ok,
pipeline_ollama-phi3.5-3.8b-ollama-phi3.5-3.8b_en_n10_1779059245,pipeline,ollama/phi3.5:3.8b,en,10,182.34,0.4,0.375,0.2182,ok,
,baseline,ollama/qwen2.5:7b,pt,20,118.34,,,,error,'charmap' codec can't encode character '\ufffd' in position 4399: character maps to <undefined>
baseline_ollama-qwen2.5-7b_pt_n20_1779060714,baseline,ollama/qwen2.5:7b,pt,20,118.0,0.95,0.9488,0.9027,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n20_1779060834,pipeline,ollama/qwen2.5:7b,pt,20,113.26,0.95,0.9499,0.9045,ok,
baseline_ollama-qwen2.5-7b_en_n20_1779060948,baseline,ollama/qwen2.5:7b,en,20,101.38,0.9,0.9,0.8182,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n20_1779061051,pipeline,ollama/qwen2.5:7b,en,20,106.38,0.95,0.9499,0.9045,ok,
baseline_ollama-llama3.1-8b_pt_n20_1779061158,baseline,ollama/llama3.1:8b,pt,20,144.35,0.85,0.8496,0.7385,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n20_1779061304,pipeline,ollama/llama3.1:8b,pt,20,136.89,0.7,0.6875,0.5222,ok,
baseline_ollama-llama3.1-8b_en_n20_1779061441,baseline,ollama/llama3.1:8b,en,20,125.97,0.7,0.6875,0.5222,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n20_1779061568,pipeline,ollama/llama3.1:8b,en,20,134.48,0.75,0.7442,0.5922,ok,
baseline_ollama-qwen2.5-7b_pt_n20_1779066601,baseline,ollama/qwen2.5:7b,pt,20,120.94,0.9,0.8901,0.8018,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n20_1779066723,pipeline,ollama/qwen2.5:7b,pt,20,110.82,0.75,0.7442,0.5922,ok,
baseline_ollama-qwen2.5-7b_en_n20_1779066835,baseline,ollama/qwen2.5:7b,en,20,101.48,0.7,0.697,0.5345,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n20_1779066937,pipeline,ollama/qwen2.5:7b,en,20,108.3,0.8,0.7917,0.6547,ok,
baseline_ollama-llama3.1-8b_pt_n20_1779067046,baseline,ollama/llama3.1:8b,pt,20,149.14,0.45,0.4373,0.275,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n20_1779067197,pipeline,ollama/llama3.1:8b,pt,20,137.85,0.45,0.4373,0.275,ok,
baseline_ollama-llama3.1-8b_en_n20_1779067335,baseline,ollama/llama3.1:8b,en,20,125.41,0.45,0.4373,0.275,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n20_1779067462,pipeline,ollama/llama3.1:8b,en,20,133.58,0.45,0.4373,0.275,ok,
baseline_ollama-mistral-7b_pt_n20_1779067596,baseline,ollama/mistral:7b,pt,20,133.05,0.55,0.5489,0.378,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_pt_n20_1779067731,pipeline,ollama/mistral:7b,pt,20,119.46,0.55,0.5489,0.378,ok,
baseline_ollama-mistral-7b_en_n20_1779067851,baseline,ollama/mistral:7b,en,20,105.82,0.4,0.375,0.2182,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_en_n20_1779067958,pipeline,ollama/mistral:7b,en,20,116.14,0.5,0.4949,0.3273,ok,
,baseline,ollama/qwen2.5:7b,pt,,3643.63,,,,error,'charmap' codec can't encode character '\ufffd' in position 32078: character maps to <undefined>
baseline_ollama-qwen2.5-7b_pt_n625_1779208659,baseline,ollama/qwen2.5:7b,pt,625,3522.57,0.7696,0.7694,0.5777,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n625_1779212182,pipeline,ollama/qwen2.5:7b,pt,625,3548.29,0.7872,0.7872,0.6257,ok,
baseline_ollama-qwen2.5-7b_en_n625_1779215731,baseline,ollama/qwen2.5:7b,en,625,3213.13,0.7216,0.7209,0.5254,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n625_1779218945,pipeline,ollama/qwen2.5:7b,en,625,3335.5,0.7904,0.7904,0.6323,ok,
baseline_ollama-llama3.1-8b_pt_n625_1779222280,baseline,ollama/llama3.1:8b,pt,625,4127.53,0.6688,0.663,0.4772,ok,
